Batch,Year,Location,Rep,Cross,Line,Yield,Environment,GxE
2016,2022,0,0,0,0,-1.0298076593467973,2022_0,0_2022_0
2016,2022,0,0,0,1,-1.297945617045333,2022_0,1_2022_0
2016,2022,0,0,0,2,-0.07470410236634106,2022_0,2_2022_0
2016,2022,0,0,0,3,0.06833050234034407,2022_0,3_2022_0
2016,2022,0,0,0,4,-2.40947980286461,2022_0,4_2022_0
2016,2022,0,0,0,5,1.8854087005237394,2022_0,5_2022_0
2016,2022,0,0,0,6,1.699850712922427,2022_0,6_2022_0
2016,2022,0,0,0,7,-0.4145472073896165,2022_0,7_2022_0
2016,2022,0,0,0,8,0.4361182150549991,2022_0,8_2022_0
2016,2022,0,0,0,9,0.10500192755938842,2022_0,9_2022_0
2016,2022,0,0,0,10,-0.33213230718849934,2022_0,10_2022_0
2016,2022,0,0,0,11,0.5088529512495394,2022_0,11_2022_0
2016,2022,0,0,0,12,0.8833789382940226,2022_0,12_2022_0
2016,2022,0,0,0,13,-0.9975546325168771,2022_0,13_2022_0
2016,2022,0,0,0,14,0.44770935542111745,2022_0,14_2022_0
2016,2022,0,0,0,15,-0.2738611846824297,2022_0,15_2022_0
2016,2022,0,0,0,16,0.12007513797223601,2022_0,16_2022_0
2016,2022,0,0,0,17,0.9455923769372452,2022_0,17_2022_0
2016,2022,0,0,0,18,0.40364312279753156,2022_0,18_2022_0
2016,2022,0,0,0,19,0.11058277794664531,2022_0,19_2022_0
2016,2022,0,0,0,20,-0.5817853196487173,2022_0,20_2022_0
2016,2022,0,0,0,21,0.9162410982453545,2022_0,21_2022_0
2016,2022,0,0,0,22,-0.5715884012034753,2022_0,22_2022_0
2016,2022,0,0,0,23,-1.2556504501728685,2022_0,23_2022_0
2016,2022,0,0,0,24,0.1697479109140105,2022_0,24_2022_0
2016,2022,0,0,0,25,0.40986421696740105,2022_0,25_2022_0
2016,2022,0,0,0,26,-0.6886295582676217,2022_0,26_2022_0
2016,2022,0,0,0,27,-0.7032421267586726,2022_0,27_2022_0
2016,2022,0,0,0,28,-0.8560372756587098,2022_0,28_2022_0
2016,2022,0,0,0,29,-1.1495407788925758,2022_0,29_2022_0
2016,2022,0,0,0,30,0.22987407959297435,2022_0,30_2022_0
2016,2022,0,0,0,31,1.3843068299656915,2022_0,31_2022_0
2016,2022,0,0,0,32,1.4314464271980407,2022_0,32_2022_0
2016,2022,0,0,0,33,-0.2605232974751862,2022_0,33_2022_0
2016,2022,0,0,0,34,0.6385170768006012,2022_0,34_2022_0
2016,2022,0,0,0,35,-0.014853573487784266,2022_0,35_2022_0
2016,2022,0,0,0,36,0.031023355763065863,2022_0,36_2022_0
2016,2022,0,0,0,37,0.7954578988489648,2022_0,37_2022_0
2016,2022,0,0,0,38,-0.0350211284260441,2022_0,38_2022_0
2016,2022,0,0,0,39,-1.1155762639111604,2022_0,39_2022_0
2016,2022,0,0,0,40,-1.3164332592040653,2022_0,40_2022_0
2016,2022,0,0,0,41,-0.06732241018472518,2022_0,41_2022_0
2016,2022,0,0,0,42,0.4839403295390413,2022_0,42_2022_0
2016,2022,0,0,0,43,-0.9828384164897813,2022_0,43_2022_0
2016,2022,0,0,0,44,1.2355749780340461,2022_0,44_2022_0
2016,2022,0,0,0,45,-1.0575153137157778,2022_0,45_2022_0
2016,2022,0,0,0,46,1.1146000966326692,2022_0,46_2022_0
2016,2022,0,0,0,47,-0.1974380829289577,2022_0,47_2022_0
2016,2022,0,0,0,48,-0.25587630856636046,2022_0,48_2022_0
2016,2022,0,0,0,49,0.5272994762490594,2022_0,49_2022_0
2016,2022,0,0,1,50,-1.170894591839837,2022_0,50_2022_0
2016,2022,0,0,1,51,0.3376982409511843,2022_0,51_2022_0
2016,2022,0,0,1,52,-2.081860666762347,2022_0,52_2022_0
2016,2022,0,0,1,53,-1.686065064179469,2022_0,53_2022_0
2016,2022,0,0,1,54,-2.152911860551024,2022_0,54_2022_0
2016,2022,0,0,1,55,-0.9679419197885165,2022_0,55_2022_0
2016,2022,0,0,1,56,1.5876106873153515,2022_0,56_2022_0
2016,2022,0,0,1,57,-2.6600046518531224,2022_0,57_2022_0
2016,2022,0,0,1,58,-3.0691307195605666,2022_0,58_2022_0
2016,2022,0,0,1,59,-2.0600475125867974,2022_0,59_2022_0
2016,2022,0,0,1,60,-1.1292706297668464,2022_0,60_2022_0
2016,2022,0,0,1,61,-1.3140834108658148,2022_0,61_2022_0
2016,2022,0,0,1,62,-1.7383961288615062,2022_0,62_2022_0
2016,2022,0,0,1,63,-1.5192626646261278,2022_0,63_2022_0
2016,2022,0,0,1,64,-0.9182019844474288,2022_0,64_2022_0
2016,2022,0,0,1,65,-1.6667686071142005,2022_0,65_2022_0
2016,2022,0,0,1,66,-0.16281387446901452,2022_0,66_2022_0
